@relation R_data_frame

@attribute X numeric
@attribute Year numeric
@attribute Month numeric
@attribute Central.Equatoria numeric
@attribute Eastern.Equatoria numeric
@attribute Gogrial numeric
@attribute Jonglei numeric
@attribute Lakes numeric
@attribute Northern.Bahr.el.Ghazal numeric
@attribute Unity numeric
@attribute Upper.Nile numeric
@attribute Warrap numeric
@attribute Western.Bahr.el.Ghazal numeric
@attribute Western.Equatoria numeric
@attribute total_events_x numeric
@attribute Unnamed..0 numeric
@attribute timestamp numeric
@attribute individuals numeric
@attribute Day numeric
@attribute Diff numeric
@attribute DRC numeric
@attribute Ethiopia numeric
@attribute Kenya numeric
@attribute Sudan numeric
@attribute Uganda numeric
@attribute Battle.Government.regains.territory numeric
@attribute Battle.No.change.of.territory numeric
@attribute Battle.Non.state.actor.overtakes.territory numeric
@attribute Headquarters.or.base.established numeric
@attribute Non.violent.transfer.of.territory numeric
@attribute Remote.violence numeric
@attribute Riots.Protests numeric
@attribute Strategic.development numeric
@attribute Violence.against.civilians numeric
@attribute total_events_y numeric
@attribute most_likely_to {Ethiopia,Kenya,Sudan,Uganda}
@attribute second_likely_to {Ethiopia,Kenya,Sudan,Uganda}

@data
16,2016,2,4,1,0,9,2,0,2,6,5,14,18,61,19,1456704000,769325,29,-17855,0,-409,1494,-25774,6834,0,28,0,0,0,1,2,5,25,61,Uganda,Kenya
17,2016,3,5,2,0,11,2,7,8,12,4,4,2,57,20,1459382400,840498,31,71173,6185,1009,1173,48831,13975,1,25,0,0,0,3,5,0,23,57,Sudan,Uganda
18,2016,4,8,0,0,7,3,5,10,2,2,17,7,61,21,1461974400,799783,30,-40715,1,290,2317,1486,-44809,0,33,0,0,0,5,4,6,13,61,Kenya,Sudan
19,2016,5,13,6,0,6,2,2,4,3,5,6,3,50,22,1464652800,854966,31,55183,0,1351,1615,4583,47634,1,15,0,0,0,0,4,7,23,50,Uganda,Sudan
20,2016,6,12,2,0,2,2,1,5,1,0,16,2,43,23,1467244800,847173,30,-7793,0,152,-16217,3516,4756,0,21,0,0,0,0,1,4,17,43,Uganda,Sudan
21,2016,7,70,23,0,4,2,4,7,3,3,13,4,133,24,1469923200,864057,31,16884,0,-5508,894,12529,8969,4,56,4,0,1,7,11,9,41,133,Sudan,Uganda
22,2016,8,24,8,0,5,2,1,14,11,1,3,5,74,25,1472601600,947281,31,83224,16130,1311,2323,2535,60925,3,31,2,0,0,6,3,5,24,74,Uganda,Sudan
23,2016,9,53,9,0,4,1,2,14,5,2,6,12,108,26,1475193600,1146984,30,199703,24932,19032,965,4521,150253,3,38,3,0,0,1,5,10,48,108,Uganda,Sudan
24,2016,10,37,26,0,5,4,2,11,15,1,8,11,120,27,1477872000,1288334,31,141350,6287,20698,24,9959,104382,1,45,4,0,0,0,4,10,56,120,Uganda,Sudan
25,2016,11,18,5,0,18,8,1,24,6,2,4,12,98,28,1480464000,1367629,30,79295,4494,6803,-12,1451,66559,1,36,3,0,0,1,2,11,44,98,Uganda,Sudan
26,2016,12,39,7,0,14,10,0,19,11,2,7,5,114,29,1483142400,1431005,31,63376,1917,10678,-2833,33923,19691,0,50,7,0,0,3,1,13,40,114,Sudan,Uganda
27,2017,1,29,6,0,8,2,1,9,31,0,8,9,103,30,1485820800,1526750,31,95745,1516,3768,2473,7861,80127,4,45,4,0,0,2,2,10,36,103,Uganda,Sudan
28,2017,2,22,8,0,22,2,1,9,28,0,4,4,100,31,1488240000,1643784,28,117034,3341,6495,2749,27856,76593,5,42,0,0,0,9,0,11,33,100,Uganda,Sudan
29,2017,3,34,11,0,15,5,0,12,13,3,10,9,112,32.5,1490400000,1708605,25,63511.5,2913.5,11803.5,2209.5,37331.5,66100,2,37,2,0,0,2,6,11,52,112,Uganda,Sudan
30,2017,4,26,14,0,37,8,3,10,17,7,21,5,148,34,1493510400,1824837,30,54030,0,9557,1864,-3973,46582,8,52,4,0,0,1,6,7,70,148,Uganda,Ethiopia
31,2017,5,39,4,0,14,11,0,8,20,4,7,9,116,35,1496188800,1887218,31,62381,2139,2530,4566,24108,29038,2,57,1,0,0,0,3,16,37,116,Uganda,Sudan
32,2017,6,20,7,0,4,7,4,4,37,4,8,11,106,36,1498780800,1952229,30,65011,1280,2533,4186,7168,49844,26,34,4,0,1,0,2,11,28,106,Uganda,Sudan
33,2017,7,15,7,0,12,3,1,9,38,4,4,5,98,37,1501459200,1984010,31,31781,1547,1504,2000,9834,16896,5,44,4,0,0,5,3,8,29,98,Uganda,Sudan
34,2017,8,21,5,0,4,9,2,8,12,4,7,5,77,38,1504137600,2055153,31,71143,2030,5764,1323,42982,19044,1,33,3,0,0,0,1,7,32,77,Sudan,Uganda
35,2017,9,13,4,0,6,10,0,19,7,7,3,10,79,40.5,1505520000,2069348.25,16,13806.75,1791,11523.25,1281,194.25,20138,1,33,3,0,0,1,5,10,26,79,Uganda,Ethiopia
36,2017,10,29,4,0,14,3,5,8,4,5,1,10,83,44,1508083200,2108666.333333,15.666667,596.333333,1307,19869,1155,-738.333333,15688.666667,1,46,3,0,0,3,7,8,15,83,Uganda,Ethiopia
37,2017,11,28,11,0,15,9,0,14,2,3,4,13,99,46.5,1511352000,2465785,22.5,181400.5,1357,1561.5,844,172146,8071.5,1,42,9,0,0,1,4,10,32,99,Sudan,Uganda
38,2017,12,20,5,0,6,7,3,15,6,2,7,8,79,49,1513872000,2446977.333333,21.666667,-16307,904,1364.333333,411.666667,-18237.666667,5494.333333,3,43,0,0,0,1,7,11,14,79,Uganda,Ethiopia
39,2018,1,18,3,0,19,1,1,7,3,2,5,4,63,51.5,1516665600,2432246.5,23,5313,931.5,4459,532,859.5,-15351,0,37,0,2,0,2,2,6,14,63,Sudan,Ethiopia
40,2018,2,12,4,0,10,5,0,14,4,5,8,2,64,53.5,1519214400,2450189.5,21.5,13212,1033,6608,307,1950.5,176.5,0,38,0,0,0,0,3,3,20,64,Sudan,Ethiopia
41,2018,3,16,4,0,13,2,0,2,10,4,4,0,55,55.5,1521763200,2463969.5,23,2388,1034,5695.5,525.5,-1273,15704,0,28,1,0,0,2,3,2,19,55,Uganda,Ethiopia
42,2018,4,14,0,0,10,1,2,29,3,0,2,2,63,57.5,1524398400,2470806,22.5,1186.5,674,2532,-172,-2859,11999,0,41,0,0,0,2,1,4,15,63,Uganda,Ethiopia
43,2018,5,5,1,0,3,4,2,4,9,7,5,8,48,59.5,1527033600,2477177,23,5637,831,1516.5,471.5,16,7019.5,0,22,0,0,0,0,2,6,18,48,Uganda,Ethiopia
44,2018,6,11,6,0,0,4,0,2,3,2,26,6,60,61.5,1529668800,2485196,22.5,2214,868,2667,133.5,2339,1601,4,26,4,0,0,0,1,6,19,60,Sudan,Uganda
45,2018,7,21,4,0,5,8,0,6,1,0,5,4,54,63,1532995200,2495764,31,9814,477,1230,76,1758,8031,0,26,0,0,0,0,1,10,17,54,Uganda,Sudan
46,2018,8,18,4,0,4,1,0,2,1,4,1,1,36,64.5,1534982400,2477899,23,-14757,454,-11620.5,111.5,-2848.5,8031,2,11,0,0,0,0,2,11,10,36,Uganda,Kenya
47,2018,9,28,4,0,1,5,0,5,0,2,3,4,52,66.5,1537617600,2466962.5,22.5,830.5,441,-24471,6.5,572.5,8031,0,28,2,0,1,0,0,10,11,52,Uganda,Sudan
48,2018,10,29,2,0,9,10,0,2,1,1,22,1,77,68,1540944000,2181316,31,-286595,735,-24471,-439,1130,-288021,0,43,1,0,0,0,4,11,18,77,Sudan,Kenya
