@relation R_data_frame

@attribute X numeric
@attribute Year numeric
@attribute Month numeric
@attribute Central.Equatoria numeric
@attribute Eastern.Equatoria numeric
@attribute Gogrial numeric
@attribute Jonglei numeric
@attribute Lakes numeric
@attribute Northern.Bahr.el.Ghazal numeric
@attribute Unity numeric
@attribute Upper.Nile numeric
@attribute Warrap numeric
@attribute Western.Bahr.el.Ghazal numeric
@attribute Western.Equatoria numeric
@attribute total_events_x numeric
@attribute Battle.Government.regains.territory numeric
@attribute Battle.No.change.of.territory numeric
@attribute Battle.Non.state.actor.overtakes.territory numeric
@attribute Headquarters.or.base.established numeric
@attribute Non.violent.transfer.of.territory numeric
@attribute Remote.violence numeric
@attribute Riots.Protests numeric
@attribute Strategic.development numeric
@attribute Violence.against.civilians numeric
@attribute total_events_y numeric
@attribute Diff numeric
@attribute DRC numeric
@attribute Ethiopia numeric
@attribute Kenya numeric
@attribute Sudan numeric
@attribute Uganda numeric
@attribute status {'Big Move','Middle Move','Small Move or Return'}

@data
36,2017,10,29,4,0,14,3,5,8,4,5,1,10,83,1,46,3,0,0,3,7,8,15,83,596,1307,19869,1155,-738,15689,'Small Move or Return'
37,2017,11,28,11,0,15,9,0,14,2,3,4,13,99,1,42,9,0,0,1,4,10,32,99,181400,1357,1562,844,172146,8072,'Big Move'
38,2017,12,20,5,0,6,7,3,15,6,2,7,8,79,3,43,0,0,0,1,7,11,14,79,-16307,904,1364,412,-18238,5494,'Small Move or Return'
39,2018,1,18,3,0,19,1,1,7,3,2,5,4,63,0,37,0,2,0,2,2,6,14,63,5313,932,4459,532,860,-15351,'Middle Move'
40,2018,2,12,4,0,10,5,0,14,4,5,8,2,64,0,38,0,0,0,0,3,3,20,64,13212,1033,6608,307,1950,176,'Middle Move'
41,2018,3,16,4,0,13,2,0,2,10,4,4,0,55,0,28,1,0,0,2,3,2,19,55,2388,1034,5696,526,-1273,15704,'Small Move or Return'
42,2018,4,14,0,0,10,1,2,29,3,0,2,2,63,0,41,0,0,0,2,1,4,15,63,1186,674,2532,-172,-2859,11999,'Small Move or Return'
43,2018,5,5,1,0,3,4,2,4,9,7,5,8,48,0,22,0,0,0,0,2,6,18,48,5637,831,1516,472,16,7020,'Middle Move'
44,2018,6,11,6,0,0,4,0,2,3,2,26,6,60,4,26,4,0,0,0,1,6,19,60,2214,868,2667,134,2339,1601,'Small Move or Return'
45,2018,7,21,4,0,5,8,0,6,1,0,5,4,54,0,26,0,0,0,0,1,10,17,54,9814,477,1230,76,1758,8031,'Middle Move'
46,2018,8,18,4,0,4,1,0,2,1,4,1,1,36,2,11,0,0,0,0,2,11,10,36,-14757,454,-11620,112,-2848,8031,'Small Move or Return'
47,2018,9,28,4,0,1,5,0,5,0,2,3,4,52,0,28,2,0,1,0,0,10,11,52,830,441,-24471,6,572,8031,'Small Move or Return'
48,2018,10,29,2,0,9,10,0,2,1,1,22,1,77,0,43,1,0,0,0,4,11,18,77,-286595,735,-24471,-439,1130,-288021,'Small Move or Return'
