@relation R_data_frame

@attribute X numeric
@attribute Central.Equatoria numeric
@attribute Eastern.Equatoria numeric
@attribute Gogrial numeric
@attribute Jonglei numeric
@attribute Lakes numeric
@attribute Northern.Bahr.el.Ghazal numeric
@attribute Unity numeric
@attribute Upper.Nile numeric
@attribute Warrap numeric
@attribute Western.Bahr.el.Ghazal numeric
@attribute Western.Equatoria numeric
@attribute Battle.Government.regains.territory numeric
@attribute Battle.No.change.of.territory numeric
@attribute Battle.Non.state.actor.overtakes.territory numeric
@attribute Headquarters.or.base.established numeric
@attribute Non.violent.transfer.of.territory numeric
@attribute Remote.violence numeric
@attribute Riots.Protests numeric
@attribute Strategic.development numeric
@attribute Violence.against.civilians numeric
@attribute total_events_y numeric
@attribute total_refugees numeric
@attribute refugees_move_out numeric
@attribute out_to_DRC numeric
@attribute out_to_Ethiopia numeric
@attribute out_to_Kenya numeric
@attribute out_to_Sudan numeric
@attribute out_to_uganda numeric
@attribute cereals.and.tubers numeric
@attribute non.food numeric
@attribute oil.and.fats numeric
@attribute pulses.and.nuts numeric

@data
28,0.283582,0.307692,0,0.594595,0.166667,0.142857,0.285714,0.736842,0,0.153846,0.222222,0.192308,0.673913,0,0,0,1,0,0.6875,0.393443,0.571429,0.552627,0.830003,0.134456,0.434781,0.699543,0.270968,0.831932,0.502522,0.035687,0.407817,0.379019
29,0.462687,0.423077,0,0.405405,0.416667,0,0.392857,0.342105,0.428571,0.384615,0.5,0.076923,0.565217,0.166667,0,0,0.222222,0.545455,0.6875,0.704918,0.678571,0.586665,0.719943,0.117338,0.509323,0.679662,0.318846,0.80799,0.561794,0.035596,0.4482,0.437927
30,0.343284,0.538462,0,1,0.666667,0.428571,0.321429,0.447368,1,0.807692,0.277778,0.307692,0.891304,0.333333,0,0,0.111111,0.545455,0.4375,1,1,0.647698,0.700445,0.000521,0.477774,0.6669,0.110151,0.763456,0.723268,0.036281,0.516468,0.52963
31,0.537313,0.153846,0,0.378378,0.916667,0,0.25,0.526316,0.571429,0.269231,0.5,0.076923,1,0.083333,0,0,0,0.272727,1,0.459016,0.714286,0.680454,0.717618,0.08627,0.37911,0.766561,0.252031,0.723426,0.807865,0.037874,0.560016,0.637716
32,0.253731,0.269231,0,0.108108,0.583333,0.571429,0.107143,0.973684,0.571429,0.307692,0.611111,1,0.5,0.333333,0,1,0,0.181818,0.6875,0.311475,0.625,0.714591,0.723026,0.051834,0.379153,0.752545,0.166441,0.770899,0.785596,0.07634,0.619119,0.649317
33,0.179104,0.269231,0,0.324324,0.25,0.142857,0.285714,1,0.571429,0.153846,0.277778,0.192308,0.717391,0.333333,0,0,0.555556,0.272727,0.5,0.327869,0.553571,0.731279,0.654693,0.062538,0.364705,0.671916,0.179911,0.695722,0.8006,0.077852,0.654105,0.681121
34,0.268657,0.192308,0,0.108108,0.75,0.285714,0.25,0.315789,0.571429,0.269231,0.277778,0.038462,0.478261,0.25,0,0,0,0.090909,0.4375,0.377049,0.366071,0.768636,0.735635,0.0819,0.424518,0.646946,0.347393,0.700623,0.773613,0.079745,0.618465,0.709741
35,0.149254,0.153846,0,0.162162,0.833333,0,0.642857,0.184211,1,0.115385,0.555556,0.038462,0.478261,0.25,0,0,0.111111,0.454545,0.625,0.278689,0.383929,0.769044,0.590138,0.0819,0.424518,0.646946,0.130224,0.700623,0.652163,0.079745,0.762546,0.441914
36,0.38806,0.153846,0,0.378378,0.25,0.714286,0.25,0.105263,0.714286,0.038462,0.555556,0.038462,0.76087,0.25,0,0,0.333333,0.636364,0.5,0.098361,0.419643,0.796395,0.593872,0.043576,0.747971,0.640749,0.130972,0.710608,0.732549,0.098948,0.648225,0.620179
37,0.373134,0.423077,0,0.405405,0.75,0,0.464286,0.052632,0.428571,0.153846,0.722222,0.038462,0.673913,0.75,0,0,0.111111,0.363636,0.625,0.377049,0.5625,0.984258,0.962363,0.054921,0.365519,0.629279,1,0.675589,0.653863,0.080837,0.666286,0.563364
