,Year,Month,Central Equatoria,Eastern Equatoria,Gogrial,Jonglei,Lakes,Northern Bahr el Ghazal,Unity,Upper Nile,Warrap,Western Bahr el Ghazal,Western Equatoria,total_events
75,2017,10,29.0,4.0,0.0,14.0,3.0,5.0,8.0,4.0,5.0,1.0,10.0,83.0
76,2017,11,28.0,11.0,0.0,15.0,9.0,0.0,14.0,2.0,3.0,4.0,13.0,99.0
77,2017,12,20.0,5.0,0.0,6.0,7.0,3.0,15.0,6.0,2.0,7.0,8.0,79.0
78,2018,1,18.0,3.0,0.0,19.0,1.0,1.0,7.0,3.0,2.0,5.0,4.0,63.0
79,2018,2,12.0,4.0,0.0,10.0,5.0,0.0,14.0,4.0,5.0,8.0,2.0,64.0
80,2018,3,16.0,4.0,0.0,13.0,2.0,0.0,2.0,10.0,4.0,4.0,0.0,55.0
81,2018,4,14.0,0.0,0.0,10.0,1.0,2.0,29.0,3.0,0.0,2.0,2.0,63.0
82,2018,5,5.0,1.0,0.0,3.0,4.0,2.0,4.0,9.0,7.0,5.0,8.0,48.0
83,2018,6,11.0,6.0,0.0,0.0,4.0,0.0,2.0,3.0,2.0,26.0,6.0,60.0
84,2018,7,21.0,4.0,0.0,5.0,8.0,0.0,6.0,1.0,0.0,5.0,4.0,54.0
85,2018,8,18.0,4.0,0.0,4.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,36.0
86,2018,9,28.0,4.0,0.0,1.0,5.0,0.0,5.0,0.0,2.0,3.0,4.0,52.0
87,2018,10,29.0,2.0,0.0,9.0,10.0,0.0,2.0,1.0,1.0,22.0,1.0,77.0
88,2018,11,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
